pendaftaran_pelatihan_id,assignment_id,status_submission_id,dokumen_id,submission_link,submitted_at,reviewed_at
PDF006273,ASN000140,DITERIMA,DOK006273,https://drive.google.com/file/d/synthetic-00006273,2025-07-15 21:39:15,2025-07-20 17:39:15
PDF006274,ASN000164,DITOLAK,DOK006274,,2025-12-05 23:48:53,2025-12-09 14:48:53
PDF006275,ASN000185,DITERIMA,DOK006275,https://drive.google.com/file/d/synthetic-00006275,2026-03-05 13:16:30,2026-03-07 02:16:30
PDF006276,ASN000209,DITERIMA,DOK006276,,2024-03-31 21:33:32,2024-04-02 17:33:32
PDF006277,ASN000237,SUBMITTED,DOK006277,https://www.canva.com/design/synthetic-00006277,2026-04-06 21:48:33,
PDF006278,ASN000262,REVIEW,DOK006278,,2026-03-02 19:32:50,
PDF006279,ASN000288,REVIEW,DOK006279,https://drive.google.com/file/d/synthetic-00006279,2024-02-27 20:54:59,
PDF006280,ASN000316,DITERIMA,DOK006280,https://marketplace.example.com/store/umkm-1281,2026-03-12 14:34:34,2026-03-17 11:34:34
PDF006281,ASN000343,DITERIMA,DOK006281,https://www.canva.com/design/synthetic-00006281,2026-01-13 22:33:47,2026-01-18 07:33:47
PDF006282,ASN000370,DITERIMA,DOK006282,,2025-07-30 22:43:22,2025-08-01 13:43:22
PDF006283,ASN000401,SUBMITTED,DOK006283,,2026-02-21 08:37:23,
PDF006284,ASN000423,SUBMITTED,DOK006284,,2025-03-09 04:23:25,
PDF006285,ASN000450,BELUM_SUBMIT,,,,
PDF006286,ASN000475,REVISI,DOK006286,https://www.canva.com/design/synthetic-00006286,2024-07-14 02:06:51,2024-07-14 16:06:51
PDF006287,ASN000503,DITERIMA,DOK006287,,2025-03-28 00:36:24,2025-03-31 10:36:24
PDF006288,ASN000524,REVIEW,DOK006288,https://www.canva.com/design/synthetic-00006288,2026-05-26 21:57:18,
PDF006289,ASN000547,BELUM_SUBMIT,,,,
PDF006290,ASN000574,DITERIMA,DOK006290,,2025-03-29 21:26:50,2025-04-01 17:26:50
PDF006291,ASN000598,REVIEW,DOK006291,,2024-12-10 11:33:49,
PDF006292,ASN000628,DITERIMA,DOK006292,,2026-01-31 02:23:33,2026-02-03 14:23:33
PDF006293,ASN000657,DITERIMA,DOK006293,,2024-06-03 12:56:50,2024-06-07 08:56:50
PDF006294,ASN000679,REVIEW,DOK006294,,2026-01-12 20:09:41,
PDF006295,ASN000703,SUBMITTED,DOK006295,https://marketplace.example.com/store/umkm-1296,2026-04-02 08:11:38,
PDF006296,ASN000723,BELUM_SUBMIT,,,,
PDF006297,ASN000750,REVIEW,DOK006297,,2024-03-02 06:58:25,
PDF006298,ASN000776,REVIEW,DOK006298,,2024-02-08 07:54:06,
PDF006299,ASN000805,DITERIMA,DOK006299,,2025-02-27 03:07:13,2025-03-02 14:07:13
PDF006300,ASN000001,REVIEW,DOK006300,,2025-04-14 21:02:15,
PDF006301,ASN000028,BELUM_SUBMIT,,,,
PDF006302,ASN000057,DITERIMA,DOK006302,,2024-11-19 02:15:03,2024-11-23 02:15:03
PDF006303,ASN000081,REVIEW,DOK006303,https://www.canva.com/design/synthetic-00006303,2026-04-07 13:23:14,
PDF006304,ASN000106,DITOLAK,DOK006304,,2024-07-18 21:11:53,2024-07-22 07:11:53
PDF006305,ASN000132,SUBMITTED,DOK006305,,2024-03-17 12:01:57,
PDF006306,ASN000156,BELUM_SUBMIT,,,,
PDF006307,ASN000179,REVISI,DOK006307,,2026-05-10 05:40:21,2026-05-10 16:40:21
PDF006308,ASN000202,BELUM_SUBMIT,,,,
PDF006309,ASN000226,DITERIMA,DOK006309,,2024-08-23 18:49:43,2024-08-27 16:49:43
PDF006310,ASN000255,DITERIMA,DOK006310,https://marketplace.example.com/store/umkm-1311,2024-08-23 03:28:39,2024-08-26 21:28:39
PDF006311,ASN000278,DITERIMA,DOK006311,,2024-04-06 21:56:38,2024-04-10 19:56:38
PDF006312,ASN000307,REVIEW,DOK006312,,2024-01-21 19:10:39,
PDF006313,ASN000333,REVIEW,DOK006313,https://drive.google.com/file/d/synthetic-00006313,2025-08-11 00:22:27,
PDF006314,ASN000362,REVIEW,DOK006314,https://marketplace.example.com/store/umkm-1315,2025-09-04 06:44:56,
PDF006315,ASN000391,SUBMITTED,DOK006315,,2025-02-10 01:20:59,
PDF006316,ASN000414,BELUM_SUBMIT,,,,
PDF006317,ASN000441,BELUM_SUBMIT,,,,
PDF006318,ASN000465,SUBMITTED,DOK006318,https://marketplace.example.com/store/umkm-1319,2024-03-09 03:26:58,
PDF006319,ASN000495,BELUM_SUBMIT,,,,
PDF006320,ASN000519,DITERIMA,DOK006320,,2024-06-28 15:11:30,2024-07-01 00:11:30
PDF006321,ASN000540,DITERIMA,DOK006321,,2024-08-24 05:35:53,2024-08-28 09:35:53
PDF006322,ASN000566,REVISI,DOK006322,https://marketplace.example.com/store/umkm-1323,2025-07-17 13:58:00,2025-07-21 16:58:00
PDF006323,ASN000590,DITOLAK,DOK006323,,2025-10-02 16:36:56,2025-10-06 05:36:56
PDF006324,ASN000619,DITOLAK,DOK006324,,2024-09-16 07:07:38,2024-09-20 16:07:38
PDF006325,ASN000646,BELUM_SUBMIT,,,,
PDF006326,ASN000672,DITERIMA,DOK006326,,2025-06-07 04:33:35,2025-06-10 17:33:35
PDF006327,ASN000698,DITERIMA,DOK006327,https://www.canva.com/design/synthetic-00006327,2025-06-08 00:24:03,2025-06-08 09:24:03
PDF006328,ASN000716,REVISI,DOK006328,https://marketplace.example.com/store/umkm-1329,2024-03-01 16:22:44,2024-03-03 17:22:44
PDF006329,ASN000744,SUBMITTED,DOK006329,https://drive.google.com/file/d/synthetic-00006329,2025-08-04 10:48:26,
PDF006330,ASN000769,SUBMITTED,DOK006330,https://drive.google.com/file/d/synthetic-00006330,2025-01-14 10:52:25,
PDF006331,ASN000798,DITERIMA,DOK006331,https://drive.google.com/file/d/synthetic-00006331,2024-11-12 04:13:35,2024-11-13 20:13:35
PDF006332,ASN000824,DITERIMA,DOK006332,,2024-02-01 04:23:08,2024-02-05 04:23:08
PDF006333,ASN000019,BELUM_SUBMIT,,,,
PDF006334,ASN000047,DITERIMA,DOK006334,,2024-01-08 11:46:50,2024-01-12 20:46:50
PDF006335,ASN000073,SUBMITTED,DOK006335,,2025-01-04 14:31:45,
PDF006336,ASN000098,REVIEW,DOK006336,,2026-04-20 12:38:46,
PDF006337,ASN000126,SUBMITTED,DOK006337,https://marketplace.example.com/store/umkm-1338,2025-03-01 10:31:29,
PDF006338,ASN000151,DITOLAK,DOK006338,,2025-10-08 19:54:08,2025-10-11 14:54:08
PDF006339,ASN000173,REVIEW,DOK006339,,2024-03-20 03:04:53,
PDF006340,ASN000197,DITERIMA,DOK006340,,2026-04-01 03:43:30,2026-04-05 01:43:30
PDF006341,ASN000219,DITERIMA,DOK006341,,2025-07-01 23:35:59,2025-07-04 04:35:59
PDF006342,ASN000249,BELUM_SUBMIT,,,,
PDF006343,ASN000271,DITERIMA,DOK006343,,2026-03-03 07:18:59,2026-03-05 11:18:59
PDF006344,ASN000301,REVIEW,DOK006344,https://marketplace.example.com/store/umkm-1345,2024-02-26 13:29:10,
PDF006345,ASN000328,SUBMITTED,DOK006345,,2024-08-04 02:59:08,
PDF006346,ASN000351,SUBMITTED,DOK006346,,2025-10-23 18:30:41,
PDF006347,ASN000383,DITERIMA,DOK006347,,2025-02-11 02:42:15,2025-02-13 11:42:15
PDF006348,ASN000408,REVISI,DOK006348,,2026-02-28 04:23:37,2026-03-02 01:23:37
PDF006349,ASN000433,BELUM_SUBMIT,,,,
PDF006350,ASN000459,DITERIMA,DOK006350,,2024-03-31 23:06:34,2024-04-05 06:06:34
PDF006351,ASN000489,DITERIMA,DOK006351,https://www.canva.com/design/synthetic-00006351,2025-12-29 20:53:18,2026-01-03 14:53:18
PDF006352,ASN000511,SUBMITTED,DOK006352,https://marketplace.example.com/store/umkm-1353,2024-08-12 08:09:04,
PDF006353,ASN000533,BELUM_SUBMIT,,,,
PDF006354,ASN000559,DITERIMA,DOK006354,,2026-04-03 07:13:31,2026-04-06 00:13:31
PDF006355,ASN000583,BELUM_SUBMIT,,,,
PDF006356,ASN000611,DITERIMA,DOK006356,,2024-06-12 05:37:48,2024-06-16 02:37:48
PDF006357,ASN000638,REVISI,DOK006357,,2024-09-11 17:03:07,2024-09-16 01:03:07
PDF006358,ASN000663,REVISI,DOK006358,,2024-04-22 03:56:55,2024-04-22 10:56:55
PDF006359,ASN000690,REVISI,DOK006359,,2024-09-06 18:18:38,2024-09-09 14:18:38
PDF006360,ASN000710,DITERIMA,DOK006360,,2026-04-02 12:38:46,2026-04-04 11:38:46
PDF006361,ASN000736,REVISI,DOK006361,https://www.canva.com/design/synthetic-00006361,2025-01-02 05:12:21,2025-01-05 17:12:21
PDF006362,ASN000760,DITERIMA,DOK006362,,2025-03-16 19:25:52,2025-03-19 20:25:52
PDF006363,ASN000789,BELUM_SUBMIT,,,,
PDF006364,ASN000816,DITERIMA,DOK006364,,2026-05-29 15:48:06,2026-06-02 19:48:06
PDF006365,ASN000012,REVIEW,DOK006365,,2025-07-10 00:19:43,
PDF006366,ASN000038,DITERIMA,DOK006366,,2026-03-06 03:11:32,2026-03-10 12:11:32
PDF006367,ASN000066,BELUM_SUBMIT,,,,
PDF006368,ASN000090,REVISI,DOK006368,,2026-02-06 15:52:44,2026-02-11 09:52:44
PDF006369,ASN000117,BELUM_SUBMIT,,,,
PDF006370,ASN000142,DITERIMA,DOK006370,https://www.canva.com/design/synthetic-00006370,2026-01-27 12:42:51,2026-01-30 06:42:51
PDF006371,ASN000166,REVIEW,DOK006371,,2024-06-02 01:36:28,
PDF006372,ASN000186,REVISI,DOK006372,,2025-10-29 20:18:31,2025-11-03 18:18:31
PDF006373,ASN000212,REVIEW,DOK006373,https://www.canva.com/design/synthetic-00006373,2024-06-20 19:03:56,
PDF006374,ASN000239,REVIEW,DOK006374,,2025-07-25 19:29:55,
PDF006375,ASN000264,REVISI,DOK006375,https://marketplace.example.com/store/umkm-1376,2025-07-01 22:05:35,2025-07-03 20:05:35
PDF006376,ASN000290,REVIEW,DOK006376,https://www.canva.com/design/synthetic-00006376,2025-02-06 07:22:13,
PDF006377,ASN000319,REVISI,DOK006377,,2024-02-03 05:13:20,2024-02-05 00:13:20
PDF006378,ASN000344,SUBMITTED,DOK006378,,2024-08-10 22:58:29,
PDF006379,ASN000374,REVISI,DOK006379,,2026-03-30 11:53:30,2026-04-03 02:53:30
PDF006380,ASN000404,REVIEW,DOK006380,,2024-10-13 18:39:17,
PDF006381,ASN000425,REVIEW,DOK006381,https://www.canva.com/design/synthetic-00006381,2025-05-13 03:24:16,
PDF006382,ASN000452,REVISI,DOK006382,,2024-11-20 05:23:21,2024-11-22 14:23:21
PDF006383,ASN000479,REVISI,DOK006383,https://www.canva.com/design/synthetic-00006383,2024-09-06 14:27:54,2024-09-07 04:27:54
PDF006384,ASN000504,REVIEW,DOK006384,,2025-04-13 07:54:04,
PDF006385,ASN000526,REVIEW,DOK006385,,2024-07-12 23:15:53,
PDF006386,ASN000550,BELUM_SUBMIT,,,,
PDF006387,ASN000577,DITOLAK,DOK006387,,2024-03-27 00:15:02,2024-03-29 05:15:02
PDF006388,ASN000599,BELUM_SUBMIT,,,,
PDF006389,ASN000630,REVIEW,DOK006389,https://drive.google.com/file/d/synthetic-00006389,2024-07-28 13:44:29,
PDF006390,ASN000658,DITOLAK,DOK006390,,2026-04-06 13:49:06,2026-04-10 06:49:06
PDF006391,ASN000681,DITERIMA,DOK006391,,2024-11-11 18:21:47,2024-11-16 07:21:47
PDF006392,ASN000705,DITERIMA,DOK006392,,2025-02-06 18:09:36,2025-02-07 22:09:36
PDF006393,ASN000725,BELUM_SUBMIT,,,,
PDF006394,ASN000751,REVISI,DOK006394,https://www.canva.com/design/synthetic-00006394,2024-06-17 15:52:59,2024-06-18 23:52:59
PDF006395,ASN000780,REVISI,DOK006395,,2024-09-01 21:00:39,2024-09-04 00:00:39
PDF006396,ASN000806,BELUM_SUBMIT,,,,
PDF006397,ASN000004,DITOLAK,DOK006397,,2024-05-28 21:01:55,2024-05-31 18:01:55
PDF006398,ASN000032,SUBMITTED,DOK006398,,2024-11-11 02:05:30,
PDF006399,ASN000058,REVISI,DOK006399,,2025-03-16 16:54:51,2025-03-17 16:54:51
PDF006400,ASN000082,SUBMITTED,DOK006400,,2025-08-13 05:04:16,
PDF006401,ASN000110,DITERIMA,DOK006401,https://marketplace.example.com/store/umkm-1402,2024-01-08 01:09:17,2024-01-12 03:09:17
PDF006402,ASN000133,DITERIMA,DOK006402,,2026-02-14 19:23:20,2026-02-19 12:23:20
PDF006403,ASN000159,BELUM_SUBMIT,,,,
PDF006404,ASN000180,SUBMITTED,DOK006404,https://www.canva.com/design/synthetic-00006404,2025-11-16 08:50:44,
PDF006405,ASN000205,REVISI,DOK006405,,2025-06-30 01:22:51,2025-07-02 09:22:51
PDF006406,ASN000229,REVIEW,DOK006406,,2025-03-28 15:23:54,
PDF006407,ASN000256,BELUM_SUBMIT,,,,
PDF006408,ASN000279,BELUM_SUBMIT,,,,
PDF006409,ASN000308,SUBMITTED,DOK006409,https://drive.google.com/file/d/synthetic-00006409,2025-04-19 12:17:27,
PDF006410,ASN000336,REVISI,DOK006410,,2025-02-27 22:11:10,2025-03-01 10:11:10
PDF006411,ASN000363,SUBMITTED,DOK006411,,2025-10-22 16:49:59,
PDF006412,ASN000394,REVIEW,DOK006412,,2024-08-16 23:04:28,
PDF006413,ASN000418,SUBMITTED,DOK006413,,2026-02-18 04:15:52,
PDF006414,ASN000442,REVIEW,DOK006414,,2025-09-07 17:07:57,
PDF006415,ASN000467,SUBMITTED,DOK006415,,2024-06-30 10:41:04,
PDF006416,ASN000496,BELUM_SUBMIT,,,,
PDF006417,ASN000521,REVIEW,DOK006417,https://drive.google.com/file/d/synthetic-00006417,2024-06-24 06:42:59,
PDF006418,ASN000542,DITERIMA,DOK006418,,2024-02-21 17:11:42,2024-02-22 19:11:42
PDF006419,ASN000568,SUBMITTED,DOK006419,,2024-01-27 18:06:30,
PDF006420,ASN000591,DITOLAK,DOK006420,,2025-06-14 04:09:20,2025-06-18 10:09:20
PDF006421,ASN000621,REVISI,DOK006421,,2024-09-12 19:07:33,2024-09-13 06:07:33
PDF006422,ASN000649,REVISI,DOK006422,https://www.canva.com/design/synthetic-00006422,2025-05-03 12:31:31,2025-05-06 10:31:31
PDF006423,ASN000674,DITERIMA,DOK006423,,2025-01-10 04:10:09,2025-01-11 01:10:09
PDF006424,ASN000699,SUBMITTED,DOK006424,https://drive.google.com/file/d/synthetic-00006424,2024-05-15 19:24:02,
PDF006425,ASN000718,REVISI,DOK006425,,2026-02-18 08:13:51,2026-02-20 04:13:51
PDF006426,ASN000745,SUBMITTED,DOK006426,,2025-01-04 22:13:45,
PDF006427,ASN000772,REVISI,DOK006427,,2025-08-22 05:28:54,2025-08-26 05:28:54
PDF006428,ASN000799,DITERIMA,DOK006428,,2026-04-02 01:58:40,2026-04-03 00:58:40
PDF006429,ASN000825,DITERIMA,DOK006429,,2026-02-11 19:13:15,2026-02-14 21:13:15
PDF006430,ASN000021,SUBMITTED,DOK006430,,2025-10-28 06:50:30,
PDF006431,ASN000051,REVIEW,DOK006431,,2025-05-14 11:42:06,
PDF006432,ASN000074,DITERIMA,DOK006432,https://marketplace.example.com/store/umkm-1433,2024-01-26 21:56:12,2024-01-30 12:56:12
PDF006433,ASN000100,REVIEW,DOK006433,,2026-03-07 22:43:35,
PDF006434,ASN000127,DITOLAK,DOK006434,,2024-03-07 11:24:37,2024-03-11 06:24:37
PDF006435,ASN000153,REVISI,DOK006435,,2025-06-27 11:24:41,2025-06-28 10:24:41
PDF006436,ASN000175,BELUM_SUBMIT,,,,
PDF006437,ASN000199,DITERIMA,DOK006437,,2026-01-13 00:36:36,2026-01-14 11:36:36
PDF006438,ASN000220,DITERIMA,DOK006438,,2026-05-10 12:31:27,2026-05-12 02:31:27
PDF006439,ASN000251,REVISI,DOK006439,,2025-08-30 18:41:29,2025-08-31 23:41:29
PDF006440,ASN000272,DITERIMA,DOK006440,,2024-07-15 19:48:22,2024-07-16 19:48:22
PDF006441,ASN000302,DITERIMA,DOK006441,,2025-06-04 23:22:35,2025-06-07 07:22:35
PDF006442,ASN000329,REVIEW,DOK006442,,2025-04-28 15:46:52,
PDF006443,ASN000354,SUBMITTED,DOK006443,,2024-01-28 03:00:19,
PDF006444,ASN000384,REVIEW,DOK006444,,2025-09-20 20:09:22,
PDF006445,ASN000410,SUBMITTED,DOK006445,https://marketplace.example.com/store/umkm-1446,2025-10-07 12:03:34,
PDF006446,ASN000437,REVISI,DOK006446,https://drive.google.com/file/d/synthetic-00006446,2024-06-07 18:34:41,2024-06-10 11:34:41
PDF006447,ASN000460,DITERIMA,DOK006447,https://marketplace.example.com/store/umkm-1448,2025-07-09 17:34:34,2025-07-10 03:34:34
PDF006448,ASN000491,DITERIMA,DOK006448,,2025-04-24 16:33:43,2025-04-28 08:33:43
PDF006449,ASN000515,REVIEW,DOK006449,,2026-02-07 05:56:47,
PDF006450,ASN000534,REVISI,DOK006450,,2025-12-29 15:40:56,2025-12-30 01:40:56
PDF006451,ASN000561,SUBMITTED,DOK006451,https://marketplace.example.com/store/umkm-1452,2025-11-21 08:34:08,
PDF006452,ASN000584,DITERIMA,DOK006452,,2025-11-13 13:43:42,2025-11-16 10:43:42
PDF006453,ASN000613,REVIEW,DOK006453,,2025-10-19 13:32:42,
PDF006454,ASN000642,DITERIMA,DOK006454,,2024-04-12 18:34:39,2024-04-14 17:34:39
PDF006455,ASN000665,DITERIMA,DOK006455,,2026-03-28 11:12:49,2026-03-30 05:12:49
PDF006456,ASN000691,SUBMITTED,DOK006456,,2025-12-08 06:28:39,
PDF006457,ASN000712,SUBMITTED,DOK006457,,2024-06-05 14:50:56,
PDF006458,ASN000737,SUBMITTED,DOK006458,https://drive.google.com/file/d/synthetic-00006458,2026-02-19 18:32:44,
PDF006459,ASN000761,BELUM_SUBMIT,,,,
PDF006460,ASN000790,DITERIMA,DOK006460,,2025-04-02 03:38:23,2025-04-04 05:38:23
PDF006461,ASN000818,DITERIMA,DOK006461,,2026-01-07 22:41:34,2026-01-11 20:41:34
PDF006462,ASN000013,REVIEW,DOK006462,https://marketplace.example.com/store/umkm-1463,2025-07-24 19:28:19,
PDF006463,ASN000041,DITERIMA,DOK006463,,2024-10-23 03:57:22,2024-10-24 23:57:22
PDF006464,ASN000067,REVIEW,DOK006464,,2024-10-11 21:09:32,
PDF006465,ASN000091,DITERIMA,DOK006465,,2024-10-26 18:21:55,2024-10-30 16:21:55
PDF006466,ASN000120,SUBMITTED,DOK006466,https://marketplace.example.com/store/umkm-1467,2025-08-05 09:57:44,
PDF006467,ASN000145,DITERIMA,DOK006467,https://marketplace.example.com/store/umkm-1468,2025-07-29 02:32:52,2025-07-30 23:32:52
PDF006468,ASN000167,DITERIMA,DOK006468,,2026-05-13 16:10:53,2026-05-15 20:10:53
PDF006469,ASN000190,SUBMITTED,DOK006469,https://marketplace.example.com/store/umkm-1470,2025-02-02 03:13:40,
PDF006470,ASN000214,BELUM_SUBMIT,,,,
PDF006471,ASN000242,SUBMITTED,DOK006471,https://drive.google.com/file/d/synthetic-00006471,2025-07-23 20:52:21,
PDF006472,ASN000265,BELUM_SUBMIT,,,,
PDF006473,ASN000294,DITOLAK,DOK006473,,2025-04-19 09:50:09,2025-04-21 12:50:09
PDF006474,ASN000320,DITERIMA,DOK006474,,2024-09-08 19:51:55,2024-09-09 08:51:55
PDF006475,ASN000346,DITOLAK,DOK006475,,2025-08-27 11:56:25,2025-08-27 17:56:25
PDF006476,ASN000375,REVIEW,DOK006476,,2025-03-14 01:28:42,
PDF006477,ASN000405,DITERIMA,DOK006477,,2025-09-21 21:04:57,2025-09-25 00:04:57
PDF006478,ASN000426,DITOLAK,DOK006478,,2024-09-12 12:45:40,2024-09-13 17:45:40
PDF006479,ASN000454,REVISI,DOK006479,https://www.canva.com/design/synthetic-00006479,2024-02-16 09:22:35,2024-02-18 14:22:35
PDF006480,ASN000480,DITERIMA,DOK006480,,2026-01-30 02:11:43,2026-02-02 15:11:43
PDF006481,ASN000507,SUBMITTED,DOK006481,https://marketplace.example.com/store/umkm-1482,2024-10-01 12:55:18,
PDF006482,ASN000527,REVISI,DOK006482,https://marketplace.example.com/store/umkm-1483,2026-02-22 17:12:12,2026-02-26 20:12:12
PDF006483,ASN000551,BELUM_SUBMIT,,,,
PDF006484,ASN000578,SUBMITTED,DOK006484,,2024-08-07 06:24:00,
PDF006485,ASN000603,SUBMITTED,DOK006485,,2025-01-25 12:25:44,
PDF006486,ASN000631,DITERIMA,DOK006486,https://drive.google.com/file/d/synthetic-00006486,2025-07-24 06:49:09,2025-07-25 18:49:09
PDF006487,ASN000659,DITERIMA,DOK006487,https://drive.google.com/file/d/synthetic-00006487,2025-04-05 08:40:43,2025-04-06 03:40:43
PDF006488,ASN000682,DITERIMA,DOK006488,,2025-03-28 12:16:22,2025-03-31 01:16:22
PDF006489,ASN000707,DITERIMA,DOK006489,https://marketplace.example.com/store/umkm-1490,2025-09-21 19:26:46,2025-09-22 10:26:46
PDF006490,ASN000728,SUBMITTED,DOK006490,,2024-07-05 09:52:43,
PDF006491,ASN000754,DITERIMA,DOK006491,,2024-07-28 15:58:54,2024-08-01 05:58:54
PDF006492,ASN000781,DITERIMA,DOK006492,,2025-07-27 05:22:09,2025-07-30 17:22:09
PDF006493,ASN000809,DITERIMA,DOK006493,https://drive.google.com/file/d/synthetic-00006493,2025-02-10 16:25:27,2025-02-13 13:25:27
PDF006494,ASN000008,REVIEW,DOK006494,,2024-12-12 05:28:03,
PDF006495,ASN000034,SUBMITTED,DOK006495,,2024-08-16 05:33:38,
PDF006496,ASN000061,REVIEW,DOK006496,,2025-09-09 05:02:26,
PDF006497,ASN000085,SUBMITTED,DOK006497,,2025-01-09 21:06:26,
PDF006498,ASN000111,SUBMITTED,DOK006498,,2024-11-14 07:51:44,
PDF006499,ASN000136,DITERIMA,DOK006499,,2024-12-29 22:07:20,2025-01-03 13:07:20
PDF006500,ASN000162,DITOLAK,DOK006500,,2025-02-06 15:45:40,2025-02-08 07:45:40
PDF006501,ASN000181,DITERIMA,DOK006501,,2026-05-04 17:58:48,2026-05-09 17:58:48
PDF006502,ASN000206,REVISI,DOK006502,,2024-11-02 13:23:04,2024-11-02 20:23:04
PDF006503,ASN000232,DITERIMA,DOK006503,,2025-11-10 20:56:08,2025-11-14 17:56:08
PDF006504,ASN000257,SUBMITTED,DOK006504,https://www.canva.com/design/synthetic-00006504,2026-05-30 23:54:21,
PDF006505,ASN000283,REVISI,DOK006505,https://drive.google.com/file/d/synthetic-00006505,2025-06-02 02:40:38,2025-06-02 21:40:38
PDF006506,ASN000311,REVIEW,DOK006506,,2025-08-05 17:24:13,
PDF006507,ASN000337,REVIEW,DOK006507,,2025-01-06 10:34:14,
PDF006508,ASN000366,REVIEW,DOK006508,,2024-09-02 15:47:23,
PDF006509,ASN000396,REVISI,DOK006509,https://marketplace.example.com/store/umkm-1510,2026-04-08 17:35:56,2026-04-12 21:35:56
PDF006510,ASN000419,DITERIMA,DOK006510,,2025-02-24 08:47:43,2025-02-28 17:47:43
PDF006511,ASN000445,SUBMITTED,DOK006511,,2024-05-16 16:27:02,
PDF006512,ASN000470,SUBMITTED,DOK006512,,2025-12-09 14:47:29,
PDF006513,ASN000498,SUBMITTED,DOK006513,,2024-04-13 16:52:28,
PDF006514,ASN000522,DITERIMA,DOK006514,,2025-06-03 11:28:55,2025-06-05 13:28:55
PDF006515,ASN000544,DITERIMA,DOK006515,,2024-07-29 09:00:07,2024-08-03 01:00:07
PDF006516,ASN000569,SUBMITTED,DOK006516,,2026-01-19 03:22:47,
PDF006517,ASN000594,DITERIMA,DOK006517,https://www.canva.com/design/synthetic-00006517,2026-04-24 02:27:50,2026-04-28 20:27:50
PDF006518,ASN000625,SUBMITTED,DOK006518,,2025-12-21 00:07:29,
PDF006519,ASN000650,DITERIMA,DOK006519,,2025-11-25 05:56:16,2025-11-27 00:56:16
PDF006520,ASN000676,SUBMITTED,DOK006520,https://www.canva.com/design/synthetic-00006520,2024-09-29 07:14:32,
PDF006521,ASN000700,DITERIMA,DOK006521,,2024-12-03 08:41:42,2024-12-07 01:41:42
PDF006522,ASN000719,DITERIMA,DOK006522,,2025-09-27 15:08:48,2025-10-01 17:08:48
PDF006523,ASN000747,DITERIMA,DOK006523,,2024-11-22 19:43:10,2024-11-26 04:43:10
PDF006524,ASN000774,SUBMITTED,DOK006524,,2026-02-20 08:10:38,
PDF006525,ASN000801,BELUM_SUBMIT,,,,
PDF006526,ASN000826,SUBMITTED,DOK006526,,2024-05-12 17:28:05,
PDF006527,ASN000024,DITERIMA,DOK006527,,2024-11-19 12:34:30,2024-11-19 21:34:30
PDF006528,ASN000052,DITERIMA,DOK006528,,2024-12-12 09:15:58,2024-12-16 10:15:58
PDF006529,ASN000078,BELUM_SUBMIT,,,,
PDF006530,ASN000101,DITOLAK,DOK006530,,2025-05-31 22:42:34,2025-06-02 07:42:34
PDF006531,ASN000128,DITERIMA,DOK006531,,2024-11-03 18:35:44,2024-11-04 19:35:44
PDF006532,ASN000154,REVISI,DOK006532,,2026-04-12 11:58:49,2026-04-13 09:58:49
PDF006533,ASN000177,REVISI,DOK006533,,2024-09-06 06:23:12,2024-09-10 12:23:12
PDF006534,ASN000200,REVISI,DOK006534,,2025-05-02 11:29:14,2025-05-03 18:29:14
PDF006535,ASN000223,SUBMITTED,DOK006535,,2024-08-13 23:06:02,
PDF006536,ASN000252,BELUM_SUBMIT,,,,
PDF006537,ASN000273,REVIEW,DOK006537,,2025-03-23 13:00:44,
PDF006538,ASN000303,SUBMITTED,DOK006538,,2026-04-12 07:24:06,
PDF006539,ASN000330,DITERIMA,DOK006539,https://marketplace.example.com/store/umkm-1540,2026-03-09 23:54:00,2026-03-13 16:54:00
PDF006540,ASN000355,DITOLAK,DOK006540,https://marketplace.example.com/store/umkm-1541,2025-04-28 19:08:46,2025-05-03 11:08:46
PDF006541,ASN000388,REVIEW,DOK006541,,2026-01-06 16:13:21,
PDF006542,ASN000411,BELUM_SUBMIT,,,,
PDF006543,ASN000438,DITERIMA,DOK006543,https://marketplace.example.com/store/umkm-1544,2026-04-16 11:45:56,2026-04-17 18:45:56
PDF006544,ASN000463,REVISI,DOK006544,https://marketplace.example.com/store/umkm-1545,2024-03-07 01:26:28,2024-03-08 15:26:28
PDF006545,ASN000493,SUBMITTED,DOK006545,,2024-11-09 10:49:54,
PDF006546,ASN000516,DITERIMA,DOK006546,https://marketplace.example.com/store/umkm-1547,2025-05-12 18:49:33,2025-05-13 20:49:33
PDF006547,ASN000536,SUBMITTED,DOK006547,https://drive.google.com/file/d/synthetic-00006547,2024-10-14 01:17:51,
PDF006548,ASN000562,BELUM_SUBMIT,,,,
PDF006549,ASN000586,SUBMITTED,DOK006549,,2024-12-20 14:57:29,
PDF006550,ASN000615,SUBMITTED,DOK006550,,2025-10-25 22:24:21,
PDF006551,ASN000644,DITERIMA,DOK006551,,2024-05-29 06:13:01,2024-06-01 19:13:01
PDF006552,ASN000666,REVIEW,DOK006552,,2025-11-17 06:12:32,
PDF006553,ASN000695,DITERIMA,DOK006553,,2025-01-19 03:51:05,2025-01-23 15:51:05
PDF006554,ASN000713,REVISI,DOK006554,,2026-05-26 11:24:39,2026-05-31 06:24:39
PDF006555,ASN000738,BELUM_SUBMIT,,,,
PDF006556,ASN000764,SUBMITTED,DOK006556,https://marketplace.example.com/store/umkm-1557,2024-02-02 08:18:08,
PDF006557,ASN000793,BELUM_SUBMIT,,,,
